City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,north bay,46.3168,-79.4663,9.01,93,20,3.09,CA,1715485030
288,francistown,-21.17,27.5079,13.67,37,0,3.46,BW,1715484949
289,lorengau,-2.0226,147.2712,29.83,76,62,3.98,PG,1715485030
290,la sarre,48.8002,-79.1996,7.69,87,97,1.54,CA,1715485030
291,touros,-5.1989,-35.4608,25.01,91,17,3.23,BR,1715485030
292,tutoia,-2.7619,-42.2744,25.42,90,86,2.79,BR,1715485030
293,levuka,50.1834,-105.4011,15.84,38,68,5.54,CA,1715485031
294,cambria,35.5641,-121.0808,25.41,86,18,1.71,US,1715485031
295,fort bragg,35.139,-79.006,19.0,58,100,2.57,US,1715485031
296,newton,42.337,-71.2092,7.25,86,0,0.0,US,1715484822
297,vikhorevka,56.1201,101.1636,10.77,86,100,5.7,RU,1715485031
298,bonthe,7.5264,-12.505,25.05,92,100,3.97,SL,1715485031
299,doka,13.5167,35.7667,32.36,33,97,1.49,SD,1715484946
300,tofol,5.3248,163.0078,30.88,74,75,5.66,FM,1715485032
301,saudarkrokur,65.7461,-19.6394,4.93,98,100,1.76,IS,1715485032
302,n'zeto,-7.2312,12.8666,25.25,94,97,2.57,AO,1715484861
303,liuduzhai,27.3661,110.935,23.06,60,100,0.68,CN,1715485032
304,ofunato,39.0717,141.7167,18.94,76,99,6.97,JP,1715485010
305,enriquillo,17.9,-71.2333,26.2,88,53,2.41,DO,1715485032
306,tucurui,-3.7661,-49.6725,24.19,96,100,1.52,BR,1715485033
307,sisimiut,66.9395,-53.6735,-0.11,94,100,5.54,GL,1715485033
308,georgetown,5.4112,100.3354,30.97,70,20,4.12,MY,1715484805
309,roses,42.262,3.1769,16.13,78,90,0.89,ES,1715485033
310,cassilandia,-19.1133,-51.7342,19.05,53,0,1.27,BR,1715485033
311,thinadhoo,0.5333,72.9333,29.34,75,49,4.66,MV,1715485033
312,chom bueng,13.62,99.5917,34.45,38,22,1.49,TH,1715485033
313,kilindoni,-7.9139,39.6668,26.95,77,39,6.08,TZ,1715485034
314,kudahuvadhoo,2.6708,72.8944,29.5,74,58,5.27,MV,1715485034
315,vilyuysk,63.7553,121.6247,1.11,50,100,2.24,RU,1715485034
316,uturoa,-16.7333,-151.4333,27.6,76,2,5.12,PF,1715485034
317,vicuna,-30.0319,-70.7081,7.85,61,5,0.32,CL,1715485034
318,panguipulli,-39.6333,-72.3333,3.16,98,62,1.26,CL,1715485035
319,kingscliff,-28.2667,153.5667,23.74,83,100,3.09,AU,1715485035
320,kourou,5.1552,-52.6478,25.03,92,100,2.83,GF,1715485035
321,ketchikan,55.3422,-131.6461,11.26,58,0,4.12,US,1715485035
322,moyynkum,44.2914,72.9469,18.58,67,100,3.67,KZ,1715485035
323,ballina,-28.8667,153.5667,22.66,75,87,2.46,AU,1715484859
